run,metric,config_template,n_evaluations,best_eval_id,best_objective,best_score,PDD_melt_factor,f_exfiltration_soil,log__multipath_threshold_soil,log__multipath_threshold_till,log__multipath_timescale_soil,log__multipath_timescale_till,log__recession_coeff_deep,log__recession_coeff_soil,log__recession_coeff_till
2026-06-20_125741_backbone_redwood_v6_1931,KGE_logKGE,redwood_config_v6.yml,797,783,0.4130982909,0.5869017091,3.892089823,,,2.168672507,,1.106608016,,,2.781865265
2026-06-20_131659_backbone_redwood_v7_2res,KGE_logKGE,redwood_config_v7_2res.yml,1450,1445,0.3967372211,0.6032627789,3.745765818,0.9485682442,2.143148791,,1.140955075,,2.037234225,2.765180255,
