decade,n_events,n_pts,b_BN,b_storage,a,tau_days,r2
1951-1960,65,144,0.8893471431666244,0.9003713391159304,0.1684560076441641,7.78645556248259,0.7214510822943833
1961-1970,118,380,1.1496645257957954,1.176006447262312,0.0493386204238832,14.042549026118047,0.8106332525234692
1971-1980,126,512,1.1490734070049327,1.175189503104173,0.04071360827457305,17.04208774312849,0.8544985122355837
1981-1990,103,359,1.1839138967400848,1.2253608975884132,0.03143755077757684,20.263503753929136,0.785861959182778
1991-2000,112,326,1.106205815792572,1.1188258076290238,0.049876515270183656,15.453004097434974,0.7546046280169976
2001-2010,111,392,1.1310856221553172,1.1508613800136112,0.047384192120860445,15.303219792107447,0.8717018896069286
2011-2020,123,328,1.190637849520279,1.2355408507888404,0.034657336768061285,18.08040698962592,0.8470879497631163
