%eval_id interface log__t_efold_shallow log__t_efold_deep f_exfiltration_shallow PDD_melt_factor log__Hmax_shallow neg_kge        
1        I1         2.042857048    2.356970965    0.07151789028  1.333608902    1.017968391    8.118579207    
2        I1         1.787027477    2.837401751    0.949424111    7.334644695    1.968143987    1.804715347    
3        I1         0.5585921403   3.01852052     0.6292693526   7.894160149    2.853367774    0.9812717638   
4        I1         2.389702809    2.300407628    0.9630859033   3.859009342    1.182394389    8.074309506    
5        I1         2.209035418    4.403137541    0.3308180983   2.868226299    2.961261554    1.257539094    
6        I1         2.625058763    4.024558405    0.9035947757   5.566776192    1.064137116    8.552138924    
7        I1         0.9848508026   2.816272949    0.6847862499   7.601138471    1.32207257     3.239201659    
8        I1         0.7800113636   2.440805043    0.1801910293   8.819798929    1.899303003    0.7320416347   
9        I1         0.3312710701   3.319870847    0.928723294    2.510248937    1.306807258    3.537121175    
10       I1         1.565750415    4.346567729    0.0550658724   5.198087494    1.50820624     4.742109339    
11       I1         1.748533409    2.417955424    0.8580963502   8.155147296    2.736782859    0.7209764359   
12       I1         0.7429324694   2.73256994     0.5935349058   9.430211796    1.383817595    1.971310205    
13       I1         1.657174574    4.260681948    0.8000462248   5.137544854    2.195799879    0.6833516631   
14       I1         0.4156642879   4.289495264    0.8680870076   9.669109386    1.07849344     5.219393596    
15       I1         1.81860996     2.176623683    0.04493083947  8.078374238    2.160550834    1.005045823    
16       I1         1.42562116     2.628661362    0.3147859988   2.638407509    1.717049326    1.524611646    
17       I1         2.779687977    3.95735416     0.8953445515   8.619482994    2.646628638    2.963918392    
18       I1         2.958124359    4.595539354    0.7714619344   3.863339546    1.521385614    8.169812823    
19       I1         0.5261102396   4.04259033     0.3965735498   7.076571738    2.051490805    0.9361808609   
20       I1         2.223688099    3.276899925    0.6114612787   0.667477985    1.721475701    6.398861732    
21       I1         2.799200445    2.098154193    0.9097599625   1.394173755    2.455007251    5.462021265    
22       I1         0.4614101847   3.094573358    0.2914710021   8.45147657     1.760318738    0.7938910427   
